"Quarter","StNo","HaulNo","Year","kategori","gruppnamn","lat_start_dec","long_start_dec","lat_stop_dec","long_stop_dec","djup","swept_area_km2","BALSE_area","sup_fishery_other","no_litter_per_km2","weight_litter_per_km2_kg","gruppnamn_ny"
1,13,7,2013,"A3_Plastpåse","A_Plast",56.5452,16.839,56.5687,16.8523,63,0.092803230414,"BAL-SE-AA-B_V_Gotlandshavet","SUP",10.7754869689228,3.01713635129839,"Plast"
1,13,7,2013,"F5_Övrigt naturmaterial","F_Naturmaterial",56.5452,16.839,56.5687,16.8523,63,0.092803230414,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",183.183278471688,12.9305843627074,"Naturmaterial"
1,15,8,2013,"A3_Plastpåse","A_Plast",56.7005,16.9877,56.725,16.9928,66,0.092197772586,"BAL-SE-AA-B_V_Gotlandshavet","SUP",10.8462490139577,0.108462490139577,"Plast"
1,15,8,2013,"F5_Övrigt naturmaterial","F_Naturmaterial",56.7005,16.9877,56.725,16.9928,66,0.092197772586,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",357.926217460605,15.7270610702387,"Naturmaterial"
1,18,9,2013,"C8_Övrig metall","C_Metall",57.3637,16.9195,57.3815,16.8892,44,0.082981422784,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",12.0508900239394,0.0241017800478787,"Metall"
1,18,9,2013,"F5_Övrigt naturmaterial","F_Naturmaterial",57.3637,16.9195,57.3815,16.8892,44,0.082981422784,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",24.1017800478787,0.554340941101211,"Naturmaterial"
1,20,10,2013,"E1_Glasburk","E_Glas",57.419,17.0228,57.4418,17.0008,55,0.093184868106,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",10.7313560701988,3.75597462456959,"Glas"
1,20,10,2013,"A3_Plastpåse","A_Plast",57.419,17.0228,57.4418,17.0008,55,0.093184868106,"BAL-SE-AA-B_V_Gotlandshavet","SUP",10.7313560701988,0.107313560701988,"Plast"
1,20,10,2013,"F5_Övrigt naturmaterial","F_Naturmaterial",57.419,17.0228,57.4418,17.0008,55,0.093184868106,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",10.7313560701988,0.579493227790737,"Naturmaterial"
1,22,11,2013,"G2_Skor","G_Diverse",57.2937,17.4143,57.2688,17.4105,75,0.090363046659,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",11.0664706090939,13.6117588491854,"Diverse"
1,22,11,2013,"F5_Övrigt naturmaterial","F_Naturmaterial",57.2937,17.4143,57.2688,17.4105,75,0.090363046659,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",121.731176700033,16.5997059136408,"Naturmaterial"
1,22,11,2013,"A2_Plastbit_stycke","A_Plast",57.2937,17.4143,57.2688,17.4105,75,0.090363046659,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",11.0664706090939,0.0885317648727508,"Plast"
1,30,15,2013,"A3_Plastpåse","A_Plast",58.0497,19.4633,58.0348,19.4967,90,0.084467917296,"BAL-SE-AA-B_O_Gotlandshavet","SUP",59.1940722591579,0.426197320265937,"Plast"
1,30,15,2013,"A1_Plastflaska","A_Plast",58.0497,19.4633,58.0348,19.4967,90,0.084467917296,"BAL-SE-AA-B_O_Gotlandshavet","SUP",11.8388144518316,0.402519691362274,"Plast"
1,31,16,2013,"A3_Plastpåse","A_Plast",58.0768,19.438,58.0518,19.4462,74,0.080578505165,"BAL-SE-AA-B_O_Gotlandshavet","SUP",12.410257524042,0.173743605336588,"Plast"
1,33,17,2013,"C8_Övrig metall","C_Metall",57.832,19.5297,57.8077,19.5357,82,0.084116893436,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",11.8882183964728,0.0118882183964728,"Metall"
1,35,18,2013,"N_Inget","N_Inget",57.7187,19.1755,57.7028,19.1418,42,0.074419838456,"BAL-SE-AA-B_O_Gotlandshavet","Inget",0,0,"Inget"
1,36,19,2013,"F5_Övrigt naturmaterial","F_Naturmaterial",57.6543,19.1265,57.629,19.1222,44,0.078953991328,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",12.6656041471758,2.71043928749562,"Naturmaterial"
1,36,19,2013,"C8_Övrig metall","C_Metall",57.6543,19.1265,57.629,19.1222,44,0.078953991328,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",12.6656041471758,63.3280207358791,"Metall"
1,40,21,2013,"A3_Plastpåse","A_Plast",57.3662,19.182,57.348,19.1493,81,0.085557930515,"BAL-SE-AA-B_O_Gotlandshavet","SUP",23.3759744767244,3.03887668197417,"Plast"
1,40,21,2013,"E2_Glasflaska","E_Glas",57.3662,19.182,57.348,19.1493,81,0.085557930515,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",11.6879872383622,4.55831502296126,"Glas"
1,40,21,2013,"F5_Övrigt naturmaterial","F_Naturmaterial",57.3662,19.182,57.348,19.1493,81,0.085557930515,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",198.695783052157,10.0516690249915,"Naturmaterial"
1,40,21,2013,"A1_Plastflaska","A_Plast",57.3662,19.182,57.348,19.1493,81,0.085557930515,"BAL-SE-AA-B_O_Gotlandshavet","SUP",11.6879872383622,20.8046172842847,"Plast"
1,42,22,2013,"A3_Plastpåse","A_Plast",57.2992,19.0507,57.3213,19.0748,68,0.090645626511,"BAL-SE-AA-B_O_Gotlandshavet","SUP",33.0959155501666,3.53023099201777,"Plast"
1,42,22,2013,"F5_Övrigt naturmaterial","F_Naturmaterial",57.2992,19.0507,57.3213,19.0748,68,0.090645626511,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",231.671408851167,160.84614957381,"Naturmaterial"
