"Quarter","StNo","HaulNo","Year","kategori","gruppnamn","lat_start_dec","long_start_dec","lat_stop_dec","long_stop_dec","swept_area_km2","ANSSE_area","trend_area","sup_fishery_other","no_litter_per_km2","weight_litter_per_km2_kg","gruppnamn_ny"
3,45,9,2019,"A3_Plastpåse","A_Plast",57.7023,10.7997,57.676,10.7727,0.0651968749125107,"utanför ANSSE-area","Utanför ANSSE-area","SUP",15.3381584829323,0.276086852692781,"Plast"
3,46,10,2019,"N_Inget","N_Inget",57.5998,11.049,57.607,11.1053,0.0603792454135333,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,48,11,2019,"N_Inget","N_Inget",57.5628,10.8658,57.545,10.848,0.0433209275112239,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,50,12,2019,"N_Inget","N_Inget",57.4662,10.8722,57.4433,10.8337,0.0662741912285629,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,52,13,2019,"C2_Ballonger","C_Gummi",57.405,11.3235,57.3847,11.3182,0.0450393667067595,"utanför ANSSE-area","Utanför ANSSE-area","SUP",22.2027988650631,6.66083965951892,"Gummi"
3,55,14,2019,"C6_Övrig gummi","C_Gummi",56.2245,10.9642,56.2553,10.9727,0.0650810417863632,"utanför ANSSE-area","Utanför ANSSE-area","OTHER",15.3654577823543,768.272889117715,"Gummi"
3,57,15,2019,"N_Inget","N_Inget",56.483,11.0972,56.453,11.0883,0.0600620164533922,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,58,16,2019,"N_Inget","N_Inget",56.351,11.9133,56.3458,11.9683,0.0634969847881324,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,60,17,2019,"N_Inget","N_Inget",56.3607,12.2653,56.3915,12.2595,0.0655138697437078,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","Inget",0,0,"Inget"
3,62,18,2019,"N_Inget","N_Inget",56.3423,12.5967,56.3587,12.5512,0.0659086731927595,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","Inget",0,0,"Inget"
3,65,19,2019,"N_Inget","N_Inget",57.8658,11.2188,57.8908,11.1858,0.0677266669818604,"ANS-SE-AA-B_Skagerrak","ANS-SE-SR-Nordsjon","Inget",0,0,"Inget"
3,69,21,2019,"N_Inget","N_Inget",58.4385,11.0448,58.4658,11.0717,0.0716906350686122,"ANS-SE-AA-B_Skagerrak","ANS-SE-SR-Nordsjon","Inget",0,0,"Inget"
3,73,22,2019,"A5_Monofilament","A_Plast",57.6573,9.7298,57.6498,9.6878,0.0481421582661187,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",62.3154446756769,0.0207718148918923,"Plast"
3,76,23,2019,"A5_Monofilament","A_Plast",57.7072,9.5913,57.6963,9.5383,0.0632736117897927,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",47.4131302946098,0.0158043767648699,"Plast"
3,76,23,2019,"A8_Fiskenät, plast","A_Plast",57.7072,9.5913,57.6963,9.5383,0.0632736117897927,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",15.8043767648699,0.173848144413569,"Plast"
3,76,23,2019,"A9_Buntband, plast","A_Plast",57.7072,9.5913,57.6963,9.5383,0.0632736117897927,"utanför ANSSE-area","Utanför ANSSE-area","OTHER",15.8043767648699,0.237065651473049,"Plast"
3,78,25,2019,"A7_Syntetiskt rep","A_Plast",57.6277,8.9853,57.6143,8.9342,0.0688316704478949,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",14.5281960105413,0.0290563920210826,"Plast"
3,80,26,2019,"A3_Plastpåse","A_Plast",57.5267,8.3237,57.53,8.3792,0.0755251478973432,"utanför ANSSE-area","Utanför ANSSE-area","SUP",26.4812457265026,0.145646851495765,"Plast"
3,80,26,2019,"A5_Monofilament","A_Plast",57.5267,8.3237,57.53,8.3792,0.0755251478973432,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",13.2406228632513,0.0132406228632513,"Plast"
3,83,27,2019,"A5_Monofilament","A_Plast",57.2895,8.7223,57.277,8.6703,0.0621401332506441,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",64.3706376339085,0.0321853188169542,"Plast"
3,83,27,2019,"A7_Syntetiskt rep","A_Plast",57.2895,8.7223,57.277,8.6703,0.0621401332506441,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",16.0926594084771,0.0482779782254314,"Plast"
3,83,27,2019,"F3_Övrigt_diverse","F_Diverse",57.2895,8.7223,57.277,8.6703,0.0621401332506441,"utanför ANSSE-area","Utanför ANSSE-area","OTHER",16.0926594084771,0.0643706376339085,"Diverse"
3,83,27,2019,"A6_Monofilament (härva)","A_Plast",57.2895,8.7223,57.277,8.6703,0.0621401332506441,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",16.0926594084771,1.1264861585934,"Plast"
3,83,27,2019,"A2_Plastfilm","A_Plast",57.2895,8.7223,57.277,8.6703,0.0621401332506441,"utanför ANSSE-area","Utanför ANSSE-area","SUP",16.0926594084771,0.160926594084771,"Plast"
